Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
27B070,Kalama R nr Kalama,2009,90,97,80,94,93,77,77,89,95,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2010,89,91,90,90,86,80,80,79,86,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2011,93,91,92,94,85,85,74,89,87,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2012,89,89,92,88,88,78,85,85,92,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2013,90,83,89,96,93,82,83,88,95,POINT (-122.8373 46.0473)
27D090,EF Lewis R nr Dollar Corner,1995,70,79,80,86,83,65,76,88,87,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,1996,62,73,73,90,85,52,73,81,85,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,1997,76,86,76,90,96,63,80,66,93,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,1998,70,84,81,90,93,38,87,79,96,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,1999,67,94,74,91,78,60,79,77,79,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2000,79,88,74,91,90,67,82,90,97,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2001,73,74,78,92,95,56,82,70,94,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2002,76,74,78,96,82,73,69,88,88,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2003,77,86,76,88,99,57,84,90,100,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2004,74,79,71,92,84,60,81,96,90,POINT (-122.5918 45.8146)
27D090,EF Lewis R nr Dollar Corner,2005,80,88,77,92,96,61,78,100,95,POINT (-122.5918 45.8146)
